sl,roll,sem,year,sub_code,total_credits,credit_obtained,timestamp,sub_type
1,0801CS01,1,2008,CH101,8,BB,9/8/2009 13:40:56:92,CORE
9,0801CS01,2,2008,CH102,6,CC,9/8/2009 13:41:08:53,CORE
22,0801CS01,3,2009,MA201,8,BB,12-03-2009 14:50,CORE
23,0801CS01,4,2009,CS204,6,BB,05-08-2010 09:27,CORE
37,0801CS01,5,2010,CS345,5,BB,12-07-2010 11:24,CORE
44,0801CS01,6,2010,HS331,6,BB,05-02-2011 19:43,HS Elective
48,0801CS01,7,2011,CS443,6,AB,12-09-2011 11:12,DEPARTMENTAL ELECTIVE - II
49,0801CS01,7,2011,CS461,6,BB,12-07-2011 17:00,DEPARTMENTAL ELECTIVE - I
50,0801CS01,7,2011,CS498,10,AA,12-10-2011 15:46,CORE
51,0801CS01,7,2011,MA410,6,AB,12-08-2011 12:27,OPEN ELECTIVE - I
56,0801CS01,8,2011,MA412,6,BC,05-07-2012 12:01,Open Elective - II
57,0801CS02,1,2008,CH101,8,AB,9/8/2009 13:40:56:92,CORE
58,0801CS02,1,2008,CH110,3,BB,9/8/2009 13:40:56:92,CORE
59,0801CS02,1,2008,EE101,8,AB,9/8/2009 13:40:56:92,CORE
72,0801CS02,2,2008,PH102,6,AB,9/8/2009 13:41:08:53,CORE
112,0801CS02,8,2011,MA412,6,BB,05-07-2012 12:01,Open Elective - II
